Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00       1/1119799     f2cons__new [10]
                0.00    0.00       2/27293       pfunk2__f2symbol__new [262]
                0.00    0.00       1/2602        raw__funkable__is_type [433]
                0.00    0.00       1/1475        pfunk2__f2string__new [474]
                0.00    0.00       3/3227        funk2_memory__global_environment [528]
                0.00    0.00       1/2           funk2_garbage_collector__init [850]
                0.00    0.00       7/3619        funk2_status [654]
                0.00    0.00       1/1           funk2_command_line__print [873]
                0.00    0.00       1/1           funk2_peer_command_server__add_new_server_port [900]
                0.00    0.00       1/1           funk2_garbage_collector__init_sets_from_memory [902]
                0.00    0.00       1/1           funk2_node_handler__add_node [908]
                0.00    0.00       1/5540486     raw__nanoseconds_since_1970 [170]
                0.00    0.00       1/1988022     raw__larva__is_type [286]
                0.00    0.00       1/1           funk2_node_handler__init [925]
                0.00    0.00       1/1           funk2_glwindow__init [928]
                0.00    0.00       5/46678       funk2_processor_mutex__init [950]
                0.00    0.00       2/27315       f2symbol__new [952]
                0.00    0.00       1/1           f2__status__initialize [1056]
                0.00    0.00       1/1           funk2_command_line__init [1065]
                0.00    0.00       1/5           circular_buffer__init [1002]
                0.00    0.00       1/1           funk2_peer_command_server__init [1095]
                0.00    0.00       1/4           client_id__init [1004]
                0.00    0.00       1/1           funk2_memory__init [1076]
                0.00    0.00       1/1           funk2_thought_process__init [1106]
                0.00    0.00       1/1           funk2_bytecode__init [1062]
                0.00    0.00       1/1           funk2_operating_system__init [1088]
                0.00    0.00       1/1           funk2_locale__init [1072]
                0.00    0.00       1/1           funk2_event_router__init [1069]
                0.00    0.00       1/1           funk2_child_process_handler__init [1063]
                0.00    0.00       1/1           funk2_processor_thread_handler__init [1101]
                0.00    0.00       1/1           funk2_primobject_type_handler__init [1099]
                0.00    0.00       1/1           funk2_scheduler_thread_controller__init [1103]
                0.00    0.00       1/1           funk2_management_thread__init [1074]
                0.00    0.00       1/1           funk2_user_thread_controller__init [1109]
                0.00    0.00       1/1           funk2_opengl__init [1083]
                0.00    0.00       1/1           funk2_openglu__init [1086]
                0.00    0.00       1/1           funk2_xxf86vm__init [1113]
                0.00    0.00       1/1           funk2_xlib__init [1111]
                0.00    0.00       1/1           funk2_cpu__init [1067]
                0.00    0.00       1/8961        initial_cause [955]
                0.00    0.00       1/1472        f2string__new [961]
-----------------------------------------------
                0.00    0.00       1/17839819     funk2_child_process_handler__destroy [912]
                0.00    0.00       1/17839819     socket_rpc_layer__funk2_node__send_packet [910]
                0.00    0.00       1/17839819     funk2_node_handler__add_node [908]
                0.00    0.00       1/17839819     funk2_management_thread__check_command_uid_finished [907]
                0.00    0.00       2/17839819     funk2_garbage_collector__total_garbage_collection_count [899]
                0.00    0.00       2/17839819     funk2_management_thread__add_command_node_to_finished_command_list [895]
                0.00    0.00       2/17839819     funk2_management_thread__add_command_node_to_command_list [894]
                0.00    0.00       2/17839819     funk2_management_thread__new_uid [896]
                0.00    0.00       8/17839819     funk2_user_thread_controller__exit__user_process [864]
                0.00    0.00       8/17839819     funk2_memory__rebuild_memory_info_from_image [107]
                0.00    0.00       8/17839819     funk2_memory__global_environment__set [875]
                0.00    0.00       8/17839819     funk2_memory__save_image_to_file [119]
                0.00    0.00       8/17839819     funk2_processor_thread_handler__add_new_processor_thread [872]
                0.00    0.00      24/17839819     funk2_memory__load_image_from_file [86]
                0.00    0.00      27/17839819     funk2_scheduler_thread_controller__user_wait_politely [97]
                0.00    0.00      38/17839819     funk2_garbage_collector__collect_garbage [201]
                0.00    0.00      40/17839819     funk2_memory__print_gc_stats [192]
                0.00    0.00     196/17839819     funk2_user_thread_controller__free_white_exps__user_process [194]
                0.00    0.00     232/17839819     funk2_user_thread_controller__touch_all_protected_alloc_arrays__user_process [44]
                0.00    0.00     266/17839819     funk2_user_thread_controller__user_wait_politely [6]
                0.00    0.00     295/17839819     funk2_garbage_collector_protected_f2ptr_buffer__flush_protected_f2ptr_knowledge_to_gc_pool [335]
                0.00    0.00     295/17839819     funk2_garbage_collector_no_more_references_buffer__flush_no_more_references_knowledge_to_gc_pool [525]
                0.00    0.00     295/17839819     funk2_garbage_collector_mutation_buffer__flush_mutation_knowledge_to_gc_pool [324]
                0.00    0.00     443/17839819     funk2_user_thread_controller__grey_from_other_nodes__user_process [271]
                0.00    0.00    1067/17839819     funk2_user_thread_controller__blacken_grey_nodes__user_process [9]
                0.00    0.00    3602/17839819     funk2_status [654]
                0.00    0.00   25736/17839819     funk2_memory__global_environment [528]
                0.13    0.07 1678628/17839819     funk2_child_process_handler__handle_child_processes [183]
                0.18    0.09 2242096/17839819     funk2_management_thread__command_list__is_empty [189]
                0.19    0.09 2377600/17839819     funk2_node__handle_node [36]
                0.92    0.45 11508887/17839819     funk2_processor_thread_handler__myself [79]
[81]     2.5    1.43    0.70 17839819         funk2_processor_mutex__raw_lock [81]
                0.69    0.00 18839586/23092537     funk2_processor_mutex__raw_trylock [122]
                0.01    0.00  902102/83852477     f2(short, long,...)(...)( *) [161]
-----------------------------------------------
                0.00    0.00    2459/11688876     pfunk2__f2simple_array__elt__set [616]
                0.60    1.49 11686417/11688876     pfunk2__f2traced_array__elt__set__trace_depth [20]
[82]     2.4    0.60    1.49 11688876         funk2_garbage_collector__know_of_changed_references [82]
                1.07    0.00 9123495/10280978     raw__exp__increment_reference_count [100]
                0.35    0.00 4241912/4241912     raw__exp__decrement_reference_count [200]
                0.01    0.04  664188/1555962     funk2_garbage_collector__know_of_no_more_references [303]
                0.02    0.00  305352/378871      funk2_garbage_collector_pool__know_of_used_exp_self_no_more_references [414]
                0.00    0.00   66639/66639       funk2_garbage_collector_no_more_references_buffer__know_of_no_more_references [515]
                0.00    0.00   66064/21203959     funk2_processor_mutex__raw_unlock [190]
                0.00    0.00   65548/65548       funk2_garbage_collector_pool__know_of_used_exp_other_no_more_references [947]
-----------------------------------------------
                0.00    0.00       2/99066       f2__compile__yield [779]
                0.00    0.00      17/99066       f2__compile__type_var__mutate [704]
                0.00    0.00     182/99066       f2__compile(char, double, long double) [496]
                0.00    0.00     192/99066       f2__compile__nop [487]
                0.00    0.00     198/99066       f2__compile__jump [484]
                0.00    0.00     218/99066       f2__compile__globalize_type_var [518]
                0.00    0.01     348/99066       f2__compile__jump_funk [445]
                0.00    0.01     476/99066       f2__compile__car [430]
                0.00    0.01     481/99066       f2__compile__define_type_var [470]
                0.00    0.01     663/99066       f2__compile__else_jump [406]
                0.00    0.02     821/99066       f2__compile__endfunk [390]
                0.00    0.02     844/99066       f2__compile__newenv [387]
                0.00    0.07    3142/99066       f2__compile__lookup_type_var [339]
                0.00    0.07    3497/99066       f2__compile__funk_bc [275]
                0.00    0.10    4858/99066       f2__compile__cdr__set [256]
                0.00    0.14    6640/99066       f2__compile__cons [223]
                0.00    0.14    6654/99066       f2__compile__car__set [230]
                0.00    0.20    9417/99066       f2__compile__copy [253]
                0.00    0.20    9449/99066       f2__compile__swap [252]
                0.00    0.20    9526/99066       f2__compile__set [251]
                0.00    0.43   20614/99066       f2__compile__push [131]
                0.00    0.43   20827/99066       f2__compile__pop [130]
[83]     2.4    0.00    2.06   99066         f2bytecode__new [83]
                0.03    2.03   98699/98699       f2bytecode__new__trace_depth [84]
-----------------------------------------------
                0.03    2.03   98699/98699       f2bytecode__new [83]
[84]     2.4    0.03    2.03   98699         f2bytecode__new__trace_depth [84]
                0.01    1.35   98063/1279901     f2__primobject__new__trace_depth [13]
                0.03    0.64  401722/6497312     raw__array__elt__set__trace_depth [21]
-----------------------------------------------
                0.00    0.00     342/620276      f2__format [294]
                0.00    0.00     393/620276      raw__read [550]
                0.00    0.03   10996/620276      f2__stream__read <cycle 4> [19]
                0.00    0.09   29428/620276      raw__stream__writef [285]
                0.01    0.30   98660/620276      f2__stream__rewind [54]
                0.01    0.30   99351/620276      f2__stream__ungetc [51]
                0.02    0.57  188576/620276      raw__file_stream__is_type [124]
                0.02    0.59  192530/620276      f2__stream__try_read_character [29]
[85]     2.3    0.05    1.89  620276         raw__stream__is_type [85]
                0.07    0.72 1252854/43181355     raw__array__elt [4]
                0.03    0.33  631130/2135180     raw__array__length [99]
                0.02    0.32  620311/2551499     raw__array__is_type [96]
                0.12    0.13 1268050/39341880     pfunk2__f2traced_array__elt <cycle 3> [138]
                0.02    0.06 1255460/5868111     raw__eq [187]
                0.02    0.00 1265699/43576003     f2traced_array__elt [132]
                0.01    0.01  634534/45596600     pfunk2__f2traced_array__length [95]
                0.01    0.00  634862/45396636     f2traced_array__length [128]
-----------------------------------------------
                0.00    1.69       3/3           funk2__init [80]
[86]     2.0    0.00    1.69       3         funk2_memory__load_image_from_file [86]
                0.08    1.06       1/1           funk2_memory__rebuild_memory_info_from_image [107]
                0.00    0.32       1/1           funk2_garbage_collector__load_from_stream [209]
                0.00    0.23       3/5           funk2_memory__print_gc_stats [192]
                0.00    0.00       1/1           funk2_never_delete_list__load_from_stream [753]
                0.00    0.00       1/2           funk2_garbage_collector__init [850]
                0.00    0.00      24/17839819     funk2_processor_mutex__raw_lock [81]
                0.00    0.00       1/2           funk2_garbage_collector__destroy [858]
                0.00    0.00       7/3619        funk2_status [654]
                0.00    0.00       8/8           funk2_memorypool__load_from_stream [869]
                0.00    0.00      24/21203959     funk2_processor_mutex__raw_unlock [190]
                0.00    0.00       5/866213      safe_read [374]
                0.00    0.00       1/67          funk2_processor_mutex__destroy [975]
-----------------------------------------------
                1.10    0.58 2059188/2059188     funk2__handle [15]
[87]     2.0    1.10    0.58 2059188         funk2_garbage_collector__handle [87]
                0.00    0.35      35/35          funk2_garbage_collector__collect_garbage [201]
                0.21    0.00 2280542/5540486     raw__nanoseconds_since_1970 [170]
                0.02    0.00      13/16          funk2_user_thread_controller__wait_for_all_user_threads_to_wait [412]
                0.00    0.00     957/3619        funk2_status [654]
-----------------------------------------------
                0.00    1.66    5493/5493        f2__stream__read <cycle 4> [19]
[88]     1.9    0.00    1.66    5493         f2__stream__try_read_string [88]
                0.01    1.34   31446/192345      f2__stream__try_read_character [29]
                0.00    0.23    5416/99367       f2__stream__ungetc [51]
                0.01    0.07   54438/366043      raw__exception__is_type [162]
                0.00    0.00   57910/5868111     raw__eq [187]
                0.00    0.00   26305/239046      raw__char__is_type [409]
                0.00    0.00     204/1475        pfunk2__f2string__new [474]
                0.00    0.00   26477/1989458     pfunk2__f2char__ch [348]
                0.00    0.00   26438/1984583     f2char__ch [398]
                0.00    0.00     202/2852829     f2__malloc [417]
                0.00    0.00     121/148         f2__new_alloc [877]
                0.00    0.00     201/1472        f2string__new [961]
                0.00    0.00     178/10380       f2(float, long double,...)(...) [954]
-----------------------------------------------
                0.00    0.00     361/126995377     f2__format [294]
                0.00    0.00    3109/126995377     f2__object__slot__type_funk [384]
                0.00    0.00    5397/126995377     f2__write_pretty [250]
                0.00    0.00    8148/126995377     raw__pointer__is_type [688]
                0.00    0.00    8257/126995377     raw__gfunkptr__is_type [687]
                0.00    0.00    8376/126995377     raw__float__is_type [684]
                0.00    0.00    8489/126995377     raw__string__is_type [683]
                0.00    0.00    8820/126995377     raw__double__is_type [682]
                0.00    0.00  121856/126995377     raw__simple_length [172]
                0.00    0.00  240604/126995377     raw__char__is_type [409]
                0.01    0.00  414212/126995377     raw__integer__is_type [388]
                0.01    0.00  473937/126995377     raw__eq_hash_value [341]
                0.01    0.00  929379/126995377     raw__symbol__is_type [307]
                0.02    0.00 1659586/126995377     raw__larva__is_type [286]
                0.04    0.00 3249733/126995377     raw__eq [187]
                0.76    0.00 59863451/126995377     raw__traced_array__is_type [45]
                0.77    0.00 59991662/126995377     raw__simple_array__is_type [5]
[89]     1.9    1.62    0.00 126995377         f2ptype__raw [89]
-----------------------------------------------
                0.00    1.61   11143/11143       f2__stream__read <cycle 4> [19]
[90]     1.9    0.00    1.61   11143         f2__stream__try_skip_whitespace [90]
                0.01    1.12   11065/11065       f2__stream__try_read_first_non_whitespace_character [108]
                0.00    0.46   10965/99367       f2__stream__ungetc [51]
                0.00    0.01   11074/366043      raw__exception__is_type [162]
-----------------------------------------------
                0.00    1.59   14894/14894       f2__fiber__execute_bytecode <cycle 1> [3]
[91]     1.8    0.00    1.59   14894         f2__fiber__bytecode__newenv [91]
                0.01    1.06   15435/15551       f2frame__new [110]
                0.01    0.29   15292/15293       f2environment__new [218]
                0.01    0.09   15932/27293       pfunk2__f2symbol__new [262]
                0.00    0.05   15847/1597317     f2__fiber__increment_pc [37]
                0.00    0.03   15846/4798098     raw__array__elt__set [30]
                0.00    0.02   15209/198444      raw__environment__is_type [212]
                0.00    0.02   29308/43181355     raw__array__elt [4]
                0.00    0.00   32486/39341880     pfunk2__f2traced_array__elt <cycle 3> [138]
                0.00    0.00   32324/43576003     f2traced_array__elt [132]
                0.00    0.00   15977/27315       f2symbol__new [952]
                0.00    0.00   15022/15124       f2__frame__new [953]
-----------------------------------------------
                0.00    0.00       2/4295531     funk2_memorypool__change_total_memory_available [313]
                0.08    0.19  759959/4295531     funk2_memorypool__defragment_free_memory_blocks_in_place [65]
                0.19    0.43 1749611/4295531     funk2_memorypool__free_used_block [46]
                0.19    0.44 1785959/4295531     funk2_memorypool__find_splittable_free_block_and_unfree [98]
[92]     1.8    0.46    1.05 4295531         rbt_tree__remove [92]
                0.29    0.00 4309691/4309691     rbt_tree__remove_with_at_most_one_child [220]
                0.22    0.00  893544/893544      rbt_node__delete_case2 [242]
                0.21    0.00  892526/892526      rbt_node__delete_case3 [247]
                0.19    0.00  863127/863127      rbt_node__swap_nodes [254]
                0.11    0.00  426553/426553      rbt_node__delete_case4 [300]
                0.02    0.00   99110/99110       rbt_node__delete_case5 [422]
                0.01    0.00  890012/890012      rbt_node__delete_case1 [466]
                0.00    0.00   98583/98583       rbt_node__delete_case6 [944]
-----------------------------------------------
                0.56    0.94 6506054/6506054     funk2_memorypool__free_used_block [46]
[93]     1.7    0.56    0.94 6506054         funk2_dptr__decrement_reference_counts [93]
                0.88    0.00 26029912/26029912     funk2_memblock__decrement_reference_count [120]
                0.01    0.05  891774/1555962     funk2_garbage_collector__know_of_no_more_references [303]
                0.00    0.00      44/378871      funk2_garbage_collector_pool__know_of_used_exp_self_no_more_references [414]
-----------------------------------------------
                0.00    0.00       1/31447       funk2_primobject_type_handler__reset_type_hash [739]
                0.00    0.07    1478/31447       f2__ptypehash__double_size__thread_unsafe <cycle 2> [284]
                0.00    0.68   14606/31447       f2__frame__add_type_var_value [40]
                0.00    0.72   15362/31447       f2__ptypehash__new [135]
[94]     1.7    0.01    1.47   31447         raw__ptypehash__new [94]
                0.01    0.65   30138/30138       f2ptypehash__new [143]
                0.00    0.34   61997/425852      pfunk2__f2integer__new [73]
                0.00    0.29   31744/1305032     raw__array__new [18]
                0.00    0.18   30486/47729       pfunk2__f2mutex__new [224]
                0.00    0.00   61091/423661      f2integer__new [940]
                0.00    0.00   29961/47049       f2mutex__new [949]
-----------------------------------------------
                0.00    0.00       1/45596600     raw__place__is_type [861]
                0.00    0.00       1/45596600     f2__ptypehash__slot_names [769]
                0.00    0.00       2/45596600     f2__scheduler__processor_with_fewest_fibers [716]
                0.00    0.00       5/45596600     raw__physical_place__is_type [828]
                0.00    0.00       8/45596600     f2__frame__copy_slots [533]
                0.00    0.00      13/45596600     raw__time__is_type [804]
                0.00    0.00    2273/45596600     f2__write_pretty [250]
                0.00    0.00    3020/45596600     raw__metrocfunk__is_type [472]
                0.00    0.00    3166/45596600     f2__object__slot__type_funk [384]
                0.00    0.00    5169/45596600     raw__frame__is_type [437]
                0.00    0.00   13180/45596600     raw__metro__is_type [363]
                0.00    0.00   30172/45596600     raw__fiber__is_type [314]
                0.00    0.00   56781/45596600     raw__funk__is_type [258]
                0.00    0.00   66696/45596600     raw__cfunk__is_type [248]
                0.00    0.00   66872/45596600     raw__ptypehash__is_type [239]
                0.00    0.00  119952/45596600     raw__exception__is_type [162]
                0.01    0.00  381845/45596600     raw__cons__is_type [103]
                0.01    0.01  634534/45596600     raw__stream__is_type [85]
                0.01    0.01  761692/45596600     raw__cause__is_type [75]
                0.81    0.56 43451218/45596600     raw__array__elt [4]
[95]     1.7    0.85    0.59 45596600         pfunk2__f2traced_array__length [95]
                0.41    0.00 45783834/363655390     funk2_user_thread_controller__user_check_wait_politely [60]
                0.00    0.18       2/267         funk2_user_thread_controller__user_wait_politely [6]
-----------------------------------------------
                0.00    0.00       1/2551499     raw__bytecode__is_type [886]
                0.00    0.00       1/2551499     raw__place__is_type [861]
                0.00    0.00       4/2551499     raw__physical_place__is_type [828]
                0.00    0.00      12/2551499     raw__time__is_type [804]
                0.00    0.00      26/2551499     raw__compile <cycle 1> [171]
                0.00    0.00    2128/2551499     f2__write_pretty [250]
                0.00    0.00    2990/2551499     raw__metrocfunk__is_type [472]
                0.00    0.00    3002/2551499     f2__object__slot__type_funk [384]
                0.00    0.00    4803/2551499     raw__frame__is_type [437]
                0.00    0.01   21229/2551499     raw__metro__is_type [363]
                0.00    0.02   29408/2551499     raw__fiber__is_type [314]
                0.00    0.03   55786/2551499     raw__funk__is_type [258]
                0.00    0.03   64153/2551499     raw__cfunk__is_type [248]
                0.00    0.04   68333/2551499     raw__ptypehash__is_type [239]
                0.01    0.10  197537/2551499     raw__environment__is_type [212]
                0.01    0.19  368362/2551499     raw__exception__is_type [162]
                0.01    0.20  378891/2551499     raw__cons__is_type [103]
                0.02    0.32  620311/2551499     raw__stream__is_type [85]
                0.03    0.38  734522/2551499     raw__cause__is_type [75]
[96]     1.7    0.09    1.33 2551499         raw__array__is_type [96]
                0.06    1.09 2549213/59758146     raw__simple_array__is_type [5]
                0.05    0.14 2577496/59520902     raw__traced_array__is_type [45]
-----------------------------------------------
                1.02    0.36      14/14          processor__start_routine [1]
[97]     1.6    1.02    0.36      14         funk2_scheduler_thread_controller__user_wait_politely [97]
                0.36    0.00 55799161/83852477     f2(short, long,...)(...)( *) [161]
                0.00    0.00      27/17839819     funk2_processor_mutex__raw_lock [81]
                0.00    0.00      27/21203959     funk2_processor_mutex__raw_unlock [190]
-----------------------------------------------
                0.09    1.22 1831449/1831449     funk2_memory__find_or_create_free_splittable_funk2_memblock_and_unfree [43]
[98]     1.5    0.09    1.22 1831449         funk2_memorypool__find_splittable_free_block_and_unfree [98]
                0.19    0.44 1785959/4295531     rbt_tree__remove [92]
                0.59    0.00 1840904/1840904     rbt_tree__maximum [153]
                0.00    0.00      11/3619        funk2_status [654]
-----------------------------------------------
                0.00    0.00       1/2135180     raw__place__is_type [861]
                0.00    0.00       1/2135180     f2__ptypehash__slot_names [769]
                0.00    0.00       2/2135180     f2__scheduler__processor_with_fewest_fibers [716]
                0.00    0.00       5/2135180     raw__physical_place__is_type [828]
                0.00    0.00       9/2135180     f2__frame__copy_slots [533]
                0.00    0.00      12/2135180     raw__time__is_type [804]
                0.00    0.00    2249/2135180     f2__write_pretty [250]
                0.00    0.00    2995/2135180     raw__metrocfunk__is_type [472]
                0.00    0.00    3172/2135180     f2__object__slot__type_funk [384]
                0.00    0.00    5116/2135180     raw__frame__is_type [437]
                0.00    0.01   12961/2135180     raw__metro__is_type [363]
                0.00    0.02   29821/2135180     raw__fiber__is_type [314]
                0.00    0.03   56394/2135180     raw__funk__is_type [258]
                0.00    0.03   65904/2135180     raw__cfunk__is_type [248]
                0.00    0.04   69429/2135180     raw__ptypehash__is_type [239]
                0.01    0.06  117802/2135180     raw__exception__is_type [162]
                0.02    0.20  378612/2135180     raw__cons__is_type [103]
                0.03    0.33  631130/2135180     raw__stream__is_type [85]
                0.04    0.40  759565/2135180     raw__cause__is_type [75]
[99]     1.4    0.10    1.12 2135180         raw__array__length [99]
                0.05    0.91 2133929/59758146     raw__simple_array__is_type [5]
                0.04    0.12 2144857/59520902     raw__traced_array__is_type [45]
-----------------------------------------------
                0.00    0.00       9/10280978     ptype_pointer__new [491]
                0.00    0.00      19/10280978     ptype_simple_array__new [659]
                0.00    0.00      21/10280978     ptype_larva__new [751]
                0.00    0.00     180/10280978     ptype_string__new [476]
                0.00    0.00     648/10280978     funk2_symbol_hash__lookup_or_create_symbol__thread_unsafe [270]
                0.00    0.00     895/10280978     ptype_double__new [513]
                0.00    0.00   28190/10280978     ptype_mutex__new [226]
                0.01    0.00   88043/10280978     ptype_char__new [175]
                0.04    0.00  341818/10280978     ptype_integer__new [76]
                0.08    0.00  697660/10280978     ptype_traced_array__new [26]
                1.07    0.00 9123495/10280978     funk2_garbage_collector__know_of_changed_references [82]
[100]    1.4    1.21    0.00 10280978         raw__exp__increment_reference_count [100]
-----------------------------------------------
                0.00    1.20   47424/47424       f2__fiber__execute_bytecode <cycle 1> [3]
[101]    1.4    0.00    1.20   47424         f2__fiber__bytecode__push__env_reg [101]
                0.01    0.98   43227/43227       f2__fiber__stack__push_env [113]
                0.00    0.16   48432/1597317     f2__fiber__increment_pc [37]
                0.00    0.03   47023/43181355     raw__array__elt [4]
                0.00    0.01   49118/39341880     pfunk2__f2traced_array__elt <cycle 3> [138]
                0.00    0.00   48907/43576003     f2traced_array__elt [132]
-----------------------------------------------
                0.00    1.18   47520/47520       f2__fiber__execute_bytecode <cycle 1> [3]
[102]    1.4    0.00    1.18   47520         f2__fiber__bytecode__push__return_reg [102]
                0.00    0.98   43403/43403       f2__fiber__stack__push_return_reg [114]
                0.00    0.16   48275/1597317     f2__fiber__increment_pc [37]
                0.00    0.03   47029/43181355     raw__array__elt [4]
                0.00    0.01   48954/39341880     pfunk2__f2traced_array__elt <cycle 3> [138]
                0.00    0.00   48780/43576003     f2traced_array__elt [132]
-----------------------------------------------
                0.00    0.00       4/379045      f2__frame__copy_slots [533]
                0.00    0.00      15/379045      f2__compile__globalize_var_exp <cycle 1> [662]
                0.00    0.00      19/379045      f2__compile__mutate_exp <cycle 1> [647]
                0.00    0.00      31/379045      f2__compile__while_exp <cycle 1> [593]
                0.00    0.00      34/379045      f2__compile__backquote_append_exp <cycle 1> [455]
                0.00    0.00      74/379045      f2__next__set [706]
                0.00    0.00     141/379045      f2__stream__try_read_number_list_without_sign_or_decimal [392]
                0.00    0.00     208/379045      f2__compile__globalize_funkvar_exp <cycle 1> [458]
                0.00    0.00     263/379045      f2__compile__backquote_exp <cycle 1> [295]
                0.00    0.00     309/379045      f2__stream__try_read_number_list_without_sign [173]
                0.00    0.00     327/379045      f2__stream__try_read_backquoted <cycle 4> [156]
                0.00    0.00     658/379045      f2__exps_demetropolize_full <cycle 1> [427]
                0.00    0.00     777/379045      raw__exp__contains_cdr_comma_at_this_level [535]
                0.00    0.00     788/379045      f2__exp__comma_filter_backquoted [404]
                0.00    0.00     822/379045      f2__compile__funk <cycle 1> [133]
                0.00    0.00     862/379045      f2__compile__apply_exp <cycle 1> [312]
                0.00    0.00    1019/379045      f2__compile__if_exp <cycle 1> [356]
                0.00    0.00    1557/379045      raw__exp__contains_cdr_comma [505]
                0.00    0.01    1666/379045      f2__write_pretty [250]
                0.00    0.01    1815/379045      f2__demetropolize_full__with_status <cycle 1> [263]
                0.00    0.01    2210/379045      f2__next [475]
                0.00    0.01    2404/379045      f2__compile__rawcode <cycle 1> [440]
                0.00    0.01    2879/379045      raw__exp__contains_comma [454]
                0.00    0.01    4967/379045      f2__stream__try_read_symbol [53]
                0.00    0.02    5148/379045      f2__stream__try_read_number [111]
                0.00    0.02    5351/379045      f2__stream__try_read_number_list [112]
                0.00    0.02    6436/379045      f2__compile__eval_args <cycle 1> [67]
                0.00    0.02    6761/379045      raw__compile <cycle 1> [171]
                0.00    0.03    9917/379045      f2__demetropolize_once <cycle 1> [146]
                0.00    0.09   29144/379045      f2__fiber__bytecode_helper__jump_funk__no_increment_pc_reg <cycle 1> [16]
                0.00    0.09   29702/379045      f2__cfunk__apply [199]
                0.00    0.13   41749/379045      f2__stream__try_read_symbol_list [55]
                0.01    0.30   99079/379045      f2__stream__rewind [54]
                0.01    0.37  121909/379045      raw__simple_length [172]
[103]    1.3    0.02    1.14  379045         raw__cons__is_type [103]
                0.04    0.43  755962/43181355     raw__array__elt [4]
                0.02    0.20  378612/2135180     raw__array__length [99]
                0.01    0.20  378891/2551499     raw__array__is_type [96]
                0.07    0.08  764991/39341880     pfunk2__f2traced_array__elt <cycle 3> [138]
                0.01    0.04  757251/5868111     raw__eq [187]
                0.01    0.00  763367/43576003     f2traced_array__elt [132]
                0.01    0.00  381845/45596600     pfunk2__f2traced_array__length [95]
                0.01    0.00  381619/45396636     f2traced_array__length [128]
-----------------------------------------------
                0.01    1.14  103352/103352      f2__fiber__execute_bytecode <cycle 1> [3]
[104]    1.3    0.01    1.14  103352         f2__fiber__bytecode__pop__args_reg [104]
                0.01    0.69   93587/93587       f2__fiber__stack__pop_args [137]
                0.01    0.35  105298/1597317     f2__fiber__increment_pc [37]
                0.01    0.06  102646/43181355     raw__array__elt [4]
                0.01    0.01  106672/39341880     pfunk2__f2traced_array__elt <cycle 3> [138]
                0.00    0.00  106262/43576003     f2traced_array__elt [132]
-----------------------------------------------
                0.02    1.12  123224/123224      f2__fiber__execute_bytecode <cycle 1> [3]
[105]    1.3    0.02    1.12  123224         f2__fiber__bytecode__swap__value_reg__iter_reg [105]
                0.01    0.42  125124/1597317     f2__fiber__increment_pc [37]
                0.01    0.38  236819/4798098     raw__array__elt__set [30]
                0.02    0.21  360099/43181355     raw__array__elt [4]
                0.04    0.04  380387/39341880     pfunk2__f2traced_array__elt <cycle 3> [138]
                0.01    0.00  379073/43576003     f2traced_array__elt [132]
-----------------------------------------------
                0.01    1.13  103673/103673      f2__fiber__execute_bytecode <cycle 1> [3]
[106]    1.3    0.01    1.13  103673         f2__fiber__bytecode__pop__iter_reg [106]
                0.00    0.69   93341/93341       f2__fiber__stack__pop_iter [141]
                0.01    0.35  105015/1597317     f2__fiber__increment_pc [37]
                0.01    0.06  102826/43181355     raw__array__elt [4]
                0.01    0.01  106409/39341880     pfunk2__f2traced_array__elt <cycle 3> [138]
                0.00    0.00  106043/43576003     f2traced_array__elt [132]
-----------------------------------------------
                0.08    1.06       1/1           funk2_memory__load_image_from_file [86]
[107]    1.3    0.08    1.06       1         funk2_memory__rebuild_memory_info_from_image [107]
                0.03    0.96  865605/7825351     rbt_tree__insert [24]
                0.06    0.00  861558/6055516     rbt_node__next [185]
                0.00    0.01       1/1           funk2_module_registration__reinitialize_all_modules [493]
                0.00    0.00    4047/1836821     funk2_memorypool__link_funk2_memblock_to_freelist [376]
                0.00    0.00    2709/5120        funk2_symbol_hash__add_symbol [802]
                0.00    0.00       9/3619        funk2_status [654]
                0.00    0.00       8/17839819     funk2_processor_mutex__raw_lock [81]
                0.00    0.00       8/21203959     funk2_processor_mutex__raw_unlock [190]
                0.00    0.00       1/2           funk2_symbol_hash__init [924]
                0.00    0.00    2709/2709        funk2_memory__ptr_to_f2ptr__slow [958]
                0.00    0.00      16/43          rbt_tree__init [978]
                0.00    0.00       8/88          rbt_tree__minimum [972]
                0.00    0.00       1/1           funk2_symbol_hash__reinit [1104]
-----------------------------------------------
                0.01    1.12   11065/11065       f2__stream__try_skip_whitespace [90]
[108]    1.3    0.01    1.12   11065         f2__stream__try_read_first_non_whitespace_character [108]
                0.01    1.07   25145/192345      f2__stream__try_read_character [29]
                0.00    0.03   23346/366043      raw__exception__is_type [162]
                0.00    0.01   25234/84960       raw__char__is_whitespace [396]
-----------------------------------------------
                0.02    1.08   93284/93284       f2__stream__try_read_character [29]
[109]    1.3    0.02    1.08   93284         f2__file_stream__try_ungetcless_read_character [109]
                0.00    0.53   90162/90256       pfunk2__f2char__new [167]
                0.00    0.40   93318/188844      raw__file_stream__is_type [124]
                0.01    0.05   94580/43181355     raw__array__elt [4]
                0.01    0.03   93509/93509       read_nonblocking [378]
